Feature,Importance,Split_Importance
meter_reading_lag_1h,16013603.75328101,5282
meter_reading_lag_1h_log,4817423.541517554,528
meter_reading_rolling_mean_24h,4445129.466876774,2780
meter_reading_diff_1h,1642485.1314438176,6267
usage_ratio_vs_24h_avg,1198751.5758958173,5229
meter_reading_diff_24h,318754.15114722506,2600
usage_ratio_vs_24h_avg_log,175864.6104062968,812
meter_reading_rolling_mean_24h_log,67359.23009968479,436
meter_reading_rolling_max_24h,44277.89628348872,922
meter_reading_rolling_mean_48h,19678.35886313417,549
meter_reading_rolling_std_24h,14781.750332412776,585
meter_reading_lag_24h,12009.196613412001,1534
meter_reading_lag_2h,9509.007846799097,1278
meter_reading_rolling_std_24h_log,1834.8604033943266,160
meter_reading_lag_2h_log,1582.2025958136655,131
meter_reading_rolling_min_24h,1525.3655090529937,622
meter_reading_rolling_max_24h_log,1248.3613037541509,65
meter_reading_lag_3h,1140.1901260784362,621
meter_reading_lag_24h_log,1120.451615398284,142
floor_count,536.4129100334831,217
meter_reading_lag_12h,472.85635074495804,591
meter_reading_rolling_max_168h,349.6952782960143,385
square_feet,338.89192825055216,498
meter_reading_rolling_max_72h,301.60238097491674,217
floor_count_log,264.84031867142767,24
meter_reading_lag1h,241.45159624470398,572
meter_reading_rolling_mean_168h,221.26912076747976,376
meter_reading_lag_12h_log,128.72047674260102,69
meter_reading_lag_6h,123.63343264488503,515
meter_reading_rolling_mean_72h,112.29965669440571,352
meter_reading_rolling_min_168h,96.45664583984762,282
dayofyear,78.13837716728449,381
meter_reading_rolling_std_168h,61.21724123740569,357
meter_reading_rolling_max_48h,43.02708902978338,294
sqft_per_floor,42.68442441581283,599
building_id,40.07108021748718,514
dayofyear_cos,38.14770830376074,405
meter_reading_rolling_min_24h_log,35.85565327038057,74
year_built,34.572909664711915,202
meter,33.97316509997472,194
meter_reading_rolling_std_72h,32.185207531787455,272
meter_reading_lag_6h_log,29.80711913271807,40
dew_temperature_rolling_mean_24h,29.088842200115323,334
meter_reading_lag24h,28.34793837927282,458
sea_level_pressure,27.257636084919795,427
wind_direction_rolling_mean_24h,26.610008931020275,365
day_of_year_x,26.326404207386076,311
sea_level_pressure_rolling_mean_24h,26.288722266908735,391
meter_reading_lag_48h,26.054217311320826,396
meter_reading_rolling_std_48h,26.023028916330077,296
meter_reading_rolling_min_72h,24.61412813817151,207
meter_reading_rolling_mean_48h_log,24.292626172304153,66
meter_reading_lag_72h,23.50636212946847,339
temp_category_encoded_rolling_mean_24h,23.45203082356602,341
wind_speed_rolling_mean_12h,23.327217435697094,342
meter_reading_rolling_min_72h_log,23.281468679662794,27
temp_celsius_rolling_mean_12h,22.398035069927573,26
day,21.988809501752257,298
air_temperature_rolling_mean_12h,21.837220639223233,181
sea_level_pressure_lag_1h,20.235000882530585,413
meter_reading_lag_168h,18.644081665901467,305
meter_reading_rolling_min_48h,18.06075166212395,265
hour_cos_x,17.26218882575631,187
cloud_coverage_rolling_mean_24h,16.640414340770803,373
cloud_coverage_rolling_mean_12h,16.427913244697265,250
wind_direction_rolling_mean_12h,16.3842674579937,310
sea_level_pressure_lag_3h,16.309697213582695,396
building_hour_interaction_encoded,16.249288463848643,325
wind_speed_rolling_mean_24h,15.845207467442378,346
sea_level_pressure_lag_2h,15.719888439401984,346
sea_level_pressure_rolling_mean_6h,15.643596531124786,345
precip_depth_1_hr_rolling_mean_24h,15.222998846322298,315
dayofyear_sin,15.15888539608568,249
size_temp_interaction_rolling_mean_24h,14.924815880134702,219
meter_reading_rolling_mean_72h_log,14.749037021771073,33
sea_level_pressure_lag_6h,14.61478139553219,345
air_temperature_rolling_mean_24h,14.162987395888194,264
wind_direction_rolling_mean_6h,13.760975604178384,300
dew_temperature,13.644868527771905,252
wind_direction_lag_2h,13.087195177562535,277
wind_speed_rolling_mean_6h,12.522329577594064,311
sea_level_pressure_rolling_mean_12h,12.10532071441412,328
weather_comfort,11.838633623439819,224
wind_speed_lag_1h,11.820906528737396,174
dew_temperature_lag_2h,11.790035975631326,216
dew_temperature_lag_1h,11.684215755900368,233
wind_direction,11.517908468376845,266
size_temp_interaction_rolling_mean_12h,11.47670836164616,188
wind_direction_lag_3h,10.444737219950184,255
dew_temperature_rolling_mean_12h,10.355161929735914,240
wind_speed,10.117386480327696,176
wind_speed_lag_6h,9.920887844869867,165
air_temperature_rolling_mean_6h,9.866440895712003,176
month,9.801792094483972,53
meter_reading_lag168h,9.798157955752686,228
size_temp_interaction_lag_2h,9.692780297249556,191
size_temp_interaction_lag_6h,9.658007889986038,188
size_temp_interaction_lag_1h,9.486258602002636,192
air_temperature_lag_1h,9.366442343918607,159
wind_direction_lag_1h,9.365658164722845,250
air_temperature_lag_2h,9.261871277587488,157
precip_depth_1_hr_rolling_mean_12h,9.198026653146371,193
day_x,9.168080654926598,204
air_temperature_lag_3h,9.109309097286314,174
dew_temperature_lag_3h,9.074543870054185,203
dew_temperature_lag_6h,9.022349199745804,224
wind_direction_lag_6h,8.93479375867173,264
meter_reading_rolling_min_168h_log,8.5783756300807,24
precip_depth_1_hr_rolling_mean_6h,8.337782521615736,174
size_temp_interaction_rolling_mean_6h,8.22078375518322,179
dew_temperature_rolling_mean_6h,8.14596688747406,185
hour_sin,7.725004089064896,142
cloud_coverage_rolling_mean_6h,7.623608021298423,189
wind_speed_lag_2h,7.616854101186618,175
size_temp_interaction_lag_3h,7.5469322896096855,157
air_temperature,7.477863948792219,146
hour_x,7.457536360714585,150
temp_category_encoded_rolling_mean_12h,7.449538126937114,190
dayofweek_sin,7.289679319132119,83
hour,6.990704007912427,185
cloud_coverage_lag_3h,6.88904345408082,95
hour_cos,6.856969680055045,157
size_temp_interaction,6.5457707941532135,163
wind_speed_lag_3h,6.057546503143385,169
use_hour_interaction,6.055818775901571,155
month_cos,6.0001210141927,50
temp_category_encoded_rolling_mean_6h,5.17789015150629,164
hour_sin_x,5.08173197042197,126
air_temperature_lag_6h,5.034922867082059,165
cloud_coverage_lag_2h,4.698004623875022,98
meter_reading_lag_72h_log,4.1773217683658,31
meter_reading_lag_3h_log,4.174414872191846,51
meter_reading_rolling_mean_168h_log,4.04105269908905,32
cloud_coverage,3.96375155961141,97
temp_celsius_rolling_mean_24h,3.949040185660124,24
cloud_coverage_lag_1h,3.933125649113208,76
weekday_x,3.9002427156083286,108
precip_depth_1_hr,3.6445145616307855,79
meter_reading_rolling_max_168h_log,3.490591937676072,40
day_of_year_y,3.1598425498232245,54
log_square_feet,3.0064533138647676,46
temp_category_encoded,2.8975165681913495,66
meter_reading_lag1h_log,2.629468153230846,54
precip_depth_1_hr_lag_2h,2.474603578215465,50
meter_reading_lag_48h_log,2.433711790945381,35
month_sin_x,2.4334908286109567,59
season_encoded,2.3763435925357044,39
meter_reading_rolling_max_48h_log,2.3718617791309953,23
cloud_coverage_lag_6h,2.3442953801713884,88
sqft_per_floor_log,2.26746376324445,50
month_cos_x,2.245572897605598,64
dayofweek,2.193110127467662,77
meter_reading_rolling_std_48h_log,2.149533768184483,29
primary_use_encoded,2.1488337924238294,51
dayofweek_cos,2.0575888545718044,75
temp_category_encoded_lag_2h,1.9785738941282034,37
meter_reading_rolling_std_168h_log,1.915408049710095,35
temp_category_encoded_lag_6h,1.852247728034854,51
meter_reading_rolling_std_72h_log,1.6705382852815092,31
temp_category_encoded_lag_3h,1.6686800764873624,38
site_id,1.448079195804894,19
temp_celsius_lag_1h,1.3987477233167738,21
month_x,1.3957678838633,25
day_y,1.3871883633546531,40
hour_cos_y,1.3798513878136873,34
hour_y,1.3738914737477899,22
temp_category_encoded_lag_1h,1.3002911820076406,45
time_period_encoded,1.274485134985298,36
building_age,1.254842272028327,25
meter_reading_rolling_max_72h_log,1.1435130946338177,16
meter_reading_lag168h_log,1.1389706102199852,34
hour_sin_y,1.0911969682201743,31
meter_reading_rolling_min_48h_log,1.0172076113522053,18
temp_celsius_rolling_mean_6h,0.9696197425946593,17
is_working_hours,0.9584420879837126,16
precip_depth_1_hr_lag_1h,0.9146920857019722,25
meter_reading_lag24h_log,0.8988321204669774,26
meter_reading_lag_168h_log,0.8254719411488622,29
is_weekend,0.8114328985102475,20
precip_depth_1_hr_lag_3h,0.8070330671034753,20
