forecast_month,forecast_month_name,train_months,train_size,test_size,rmse,mae,r2
2,Feb,Jan,1041110,925338,174.90744052671306,42.94172063852093,0.9858089534529805
3,Mar,Jan-Feb,1966448,971112,190.68865711773066,51.30601944786191,0.979791061503541
4,Apr,Jan-Feb-Mar,2937560,1022853,192.5890508391701,50.48126875797319,0.9775458123860082
5,May,Jan-Feb-Mar-Apr,3960413,1056473,178.26578925502707,46.60924202306724,0.9797342944362585
6,Jun,Jan-Feb-Mar-Apr-May,5016886,1022625,166.40036579855726,44.31649158583901,0.9851407702429754
7,Jul,Jan-Feb-Mar-Apr-May-Jun,6039511,1049186,181.4665637163056,44.511639269885556,0.9835557388855127
8,Aug,Jan-Feb-Mar-Apr-May-Jun-Jul,7088697,1047171,186.98971356306586,44.500420695867625,0.9832179849903712
9,Sep,Jan-Feb-Mar-Apr-May-Jun-Jul-Aug,8135868,1029198,169.97353195228885,44.17511382973088,0.9850889915794662
10,Oct,Jan-Feb-Mar-Apr-May-Jun-Jul-Aug-Sep,9165066,1060388,188.02399913532312,48.274226631020724,0.9776054958861746
11,Nov,Jan-Feb-Mar-Apr-May-Jun-Jul-Aug-Sep-Oct,10225454,1020453,186.93975456938674,48.04918026564723,0.9795238776678598
12,Dec,Jan-Feb-Mar-Apr-May-Jun-Jul-Aug-Sep-Oct-Nov,11245907,1045492,175.20464660405358,46.37191833770138,0.9872293744357975
